,review_id,username,user_image,rating,review_text,thumbs_up_count,review_date,app_version,replied_at,reply_content,lang,app_name
109,debac27c-8d2c-4cfc-b0b9-bd9ba6ee171c,Emon Khan,https://play-lh.googleusercontent.com/a/ACg8ocIYA1w9CLhA3KYNxbokQ8LTSmyFNatPTOphlsRB1Re7Aa0H3w=mo,5,একাউন্টে লগইন করতে পারতাছিনা,2,2025-07-02 20:46:24,3.0.11,,,bn,Rocket
110,843195bf-c45f-4483-886d-c0b492370d96,Aminul Islam (Amanullah),https://play-lh.googleusercontent.com/a-/ALV-UjXpERoMn0Uj8kTBSpP352WSiuZ_LMnLUMkqGAbGAvVFI3IKxl4T8g,1,"Rocket app still lives in the past. Frequent crashes, outdated interface, poor card support, and still no Dark Mode in 2025? You’re a financial app, not a joke. Instead of flashy logos and ads, why not invest in stability and essential features? Users deserve better — this is digital banking, not digital punishment.",20,2025-07-02 19:46:20,3.0.11,,,bn,Rocket
111,ee757699-8507-4712-994a-af9454826b1c,জিহাদ মোবাসির,https://play-lh.googleusercontent.com/a/ACg8ocLWZJfA4EJCDhyRLOAbCcp6VcmQFv0vKf6IkcRs0XVm8ewmUQ=mo,5,valo,4,2025-06-26 00:50:45,3.0.11,,,bn,Rocket
112,49c693bd-3db6-4788-a8fa-ed7fdfe86c87,MirMahamudul Mahamudul,https://play-lh.googleusercontent.com/a-/ALV-UjWkaHXNiF0B1ZkFAsY1qa1vncXL1uf3mcCAsUrC4YMIOdWClE4,5,very nice app,0,2026-06-06 05:30:44,3.1.1,,,en,Rocket
113,3f6545e4-1a67-4a5f-bc03-9d6a65abbbdd,Nahid,https://play-lh.googleusercontent.com/a-/ALV-UjUCthOXwGN_SrI13pI780zEpvn0mibcYk76o3aNMyjgiIOKQxar,5,ভালো থাকুন,0,2026-06-06 00:54:31,,,,en,Rocket
114,798046e2-2f8a-474e-99ee-4e63376faef0,Ma Icicle,https://play-lh.googleusercontent.com/a/ACg8ocLRy7Sap8ZT96LYFLvjXPGx2TqK6Rsop9XKok1FhbRqXI2QlA=mo,5,Rakib,0,2026-06-05 20:14:11,,,,en,Rocket
115,a62f1713-6f68-4eee-8d5b-426bf6f46d2d,Suleman Mia,https://play-lh.googleusercontent.com/a/ACg8ocK11UGFDRmewqsZg-xVGxCXFhWC9VLlYz1gRm_L4vn7XFd5rg=mo,4,ঢঢ়রণ,0,2026-06-05 19:18:37,3.1.1,,,en,Rocket
116,48a865a8-16a1-4bf4-a2d3-6a536953fa5b,Imran Islam,https://play-lh.googleusercontent.com/a-/ALV-UjX43mZ2oUiQ-ZP5eGmSEoLqtZizOPf9Ar8kxyvvlCUymwBNrWUe,5,very good app,0,2026-06-05 11:54:04,3.1.1,,,en,Rocket
117,347c6395-e72b-42ad-bf43-31b9dabaaa8f,2025 Sall,https://play-lh.googleusercontent.com/a-/ALV-UjVqUgF93DjkWfhIPmU4XyPPSkl_LXh5Q8gI-mfy512iRaAWtos9,5,good,0,2026-06-05 10:11:24,3.1.1,,,en,Rocket
118,9b6fc343-3db1-453d-93ee-0be36c8f2266,Md MUNNA,https://play-lh.googleusercontent.com/a-/ALV-UjXDA4jbqvpDS3J0Qhg1U6xQlMnrKo7WVckPaU45Unm9g221Nes,5,সুন্দর,0,2026-06-05 07:16:45,3.1.1,,,en,Rocket
119,a4ec1401-1625-4f66-ba26-95b850f5ea9a,Arham Global Net,https://play-lh.googleusercontent.com/a-/ALV-UjVMIa22zvDTKbEsgE7y5VYhfrU54AsljwUHLD7E1PKjKvqD12Op,5,Good 😊,0,2026-06-05 06:39:37,3.1.1,,,en,Rocket
120,5b928219-904c-4e2a-a3b3-5aacb799842b,Mojahid Hossain,https://play-lh.googleusercontent.com/a/ACg8ocJiglZXR3cxhZZ2Iq0qeNaA5oLhyB3myNt5GQncyMNAmJmgnw=mo,1,Baler service dise ek number diya account khulsi sob jaygay ashol number dekhay app er bhitore arek number dekhay abar kono korte gelei koy account doesn't exist hawar service dey halara,0,2026-06-04 23:19:11,3.1.1,,,en,Rocket
121,c7f7db7c-0fac-4f2b-9ce6-47bad3e2bf55,Mx Redoy,https://play-lh.googleusercontent.com/a-/ALV-UjVOZPEF0kCaJr9PEVkAUmbO4KTAgEM4EQQ-01Sr8PynlUqda1g,5,good,0,2026-06-04 11:45:42,,,,en,Rocket
122,48077408-8fca-48fa-8442-2a51926471db,RR NaMe,https://play-lh.googleusercontent.com/a-/ALV-UjVkU2tOSt_sNRz5LLCDBhd4MusQZJdPyT2LLwInM875PfeBEbBoKQ,5,"খুব বালো একটা এপছ কারণ রকেট থেকে বিকাশে টাকা পাঠানো জাই 💗অসাধারণ, 💗💗💗🌹🌹🌹🌹🌹",0,2026-06-04 05:56:46,3.1.1,,,en,Rocket
123,9033851b-6a21-44af-8ba4-d93fb161d82d,MD RUBEL HOSSAIN,https://play-lh.googleusercontent.com/a/ACg8ocKo4DR_w6L1R6OyILm7THcZp25-7FLp5rHMatAzIsfPmkrCLw=mo,5,Nine,0,2026-06-03 21:06:52,3.1.1,,,en,Rocket
124,377b0cf9-acd6-47bf-80f3-d01dd62e7a08,Bokul miah,https://play-lh.googleusercontent.com/a/ACg8ocLEz9HvZ2KGx46Cy4itIUW37osJ76DO3y9UYeyPBx3MotvM=mo,1,bad 🤮🤮🤮,0,2026-06-03 19:23:35,,,,en,Rocket
125,4bc20e3b-0de8-4e67-b6e8-ffba3bc2001d,MdANASSAUD BINKASIM,https://play-lh.googleusercontent.com/a-/ALV-UjVvG8UquXfNTB1Zt0-ya4UOA-X0brCpqu0GaOweMFWS_X0wnWYf,5,md roman,0,2026-06-03 12:33:41,3.1.1,,,en,Rocket
126,cdbc9c6a-324d-40cc-bbc2-4387d4ce816d,Sem Hendriks,https://play-lh.googleusercontent.com/a-/ALV-UjUGtGXm25YVo2EkucoCJBM6hT1H70MfJd635dCEEfgFZs1k8DvI,5,very good,0,2026-06-03 01:21:46,,,,en,Rocket
